"Transcript ID"
"ENST00000426105.7"
"ENST00000373747.7"
"ENST00000257075.9"
"ENST00000424085.6"
"ENST00000525843.5"
"ENST00000373741.8"
"ENST00000440538.6"
"ENST00000373742.6"
"ENST00000498419.5"
"ENST00000532678.1"
"ENST00000529846.5"
"ENST00000525997.1"
"ENST00000531867.1"
"ENST00000525948.5"
"ENST00000480602.1"
"ENST00000527498.1"
"ENST00000526215.5"
"ENST00000530669.1"
"ENST00000490546.1"
"ENST00000526128.1"
"ENST00000471894.1"
"ENST00000524516.1"
"ENST00000498627.1"
