"Transcript ID"
"ENST00000433477.4"
"ENST00000679942.1"
"ENST00000680553.1"
"ENST00000679996.1"
"ENST00000680741.1"
"ENST00000679136.1"
"ENST00000676791.2"
"ENST00000681379.1"
"ENST00000679625.1"
"ENST00000678374.1"
