"Transcript ID"
"ENST00000244741.10"
"ENST00000405375.5"
"ENST00000448526.6"
"ENST00000615513.4"
"ENST00000373711.3"
"ENST00000478800.1"
"ENST00000459970.1"
"ENST00000462537.3"
