"Transcript ID"
"ENST00000305921.8"
"ENST00000629650.3"
"ENST00000686064.1"
"ENST00000693196.1"
"ENST00000685212.1"
"ENST00000687355.1"
"ENST00000693102.1"
"ENST00000689445.1"
"ENST00000392995.7"
"ENST00000688505.1"
"ENST00000590418.1"
"ENST00000692386.1"
"ENST00000685582.1"
