"ensembl_transcript_id_version"
"ENST00000674681.1"
"ENST00000642480.2"
"ENST00000676397.1"
"ENST00000676319.1"
"ENST00000676189.1"
"ENST00000473257.3"
"ENST00000646664.1"
"ENST00000464611.1"
"ENST00000477812.2"
"ENST00000675515.1"
"ENST00000425660.5"
"ENST00000462494.5"
"ENST00000493945.6"
"ENST00000432588.6"
"ENST00000645576.1"
"ENST00000647275.1"
"ENST00000484841.6"
"ENST00000645025.1"
"ENST00000480301.1"
"ENST00000443528.5"
"ENST00000417101.2"
"ENST00000414620.1"
"ENST00000646584.1"
