"ensembl_transcript_id_version"
"ENST00000301633.8"
"ENST00000350051.8"
"ENST00000590925.6"
"ENST00000374948.6"
"ENST00000590449.1"
"ENST00000592734.5"
"ENST00000592115.5"
"ENST00000586192.5"
"ENST00000587746.5"
"ENST00000591800.1"
"ENST00000589892.1"
