"ensembl_transcript_id_version"
"ENST00000677635.1"
"ENST00000678301.1"
"ENST00000678349.1"
"ENST00000678134.1"
"ENST00000333681.5"
"ENST00000398117.1"
"ENST00000677227.1"
"ENST00000590515.1"
"ENST00000589955.2"
