"ensembl_transcript_id_version"
"ENST00000493917.5"
"ENST00000634734.3"
"ENST00000379701.5"
"ENST00000467389.6"
"ENST00000379704.7"
"ENST00000379707.7"
"ENST00000468274.1"
"ENST00000473464.2"
"ENST00000473781.1"
"ENST00000635077.1"
"ENST00000488499.1"
