"ensembl_transcript_id_version"
"ENST00000577695.5"
"ENST00000309156.9"
"ENST00000485182.5"
"ENST00000583813.1"
"ENST00000584853.1"
"ENST00000584819.5"
"ENST00000394211.7"
"ENST00000578702.5"
"ENST00000445327.6"
"ENST00000394209.6"
"ENST00000584053.1"
"ENST00000394204.1"
"ENST00000461756.1"
"ENST00000473071.1"
