"ensembl_transcript_id_version"
"ENST00000649792.2"
"ENST00000309263.7"
"ENST00000524317.1"
"ENST00000450649.6"
"ENST00000520467.5"
"ENST00000518447.1"
"ENST00000532532.1"
"ENST00000528651.1"
"ENST00000519202.1"
"ENST00000519535.1"
"ENST00000530265.1"
"ENST00000519788.6"
"ENST00000531429.1"
"ENST00000534295.1"
