"ensembl_transcript_id_version"
"ENST00000304895.9"
"ENST00000466883.5"
"ENST00000447929.5"
"ENST00000430730.5"
"ENST00000421103.5"
"ENST00000461622.1"
"ENST00000462371.1"
"ENST00000465785.5"
"ENST00000479038.1"
"ENST00000489482.1"
"ENST00000475316.5"
"ENST00000476486.5"
"ENST00000446111.1"
"ENST00000478118.1"
