"gene"	"qval"
"ENSG00000185811"	"ENSG00000185811"	2.29292824460714e-08
"ENSG00000197818"	"ENSG00000197818"	2.48787330681671e-08
"ENSG00000145425"	"ENSG00000145425"	2.63343020015788e-08
"ENSG00000070501"	"ENSG00000070501"	3.12912135426136e-08
"ENSG00000169813"	"ENSG00000169813"	3.14447561984459e-08
"ENSG00000137814"	"ENSG00000137814"	3.19129940537114e-08
"ENSG00000145725"	"ENSG00000145725"	3.21700989450714e-08
"ENSG00000070831"	"ENSG00000070831"	3.24101818223847e-08
"ENSG00000173465"	"ENSG00000173465"	3.80078423698349e-08
"ENSG00000140941"	"ENSG00000140941"	3.81691664098339e-08
"ENSG00000104131"	"ENSG00000104131"	3.8771136032991e-08
"ENSG00000143365"	"ENSG00000143365"	4.12516333314628e-08
"ENSG00000111790"	"ENSG00000111790"	4.30629389230885e-08
"ENSG00000116679"	"ENSG00000116679"	4.54347809434427e-08
"ENSG00000095139"	"ENSG00000095139"	4.71827889821388e-08
"ENSG00000167526"	"ENSG00000167526"	4.74956583955143e-08
"ENSG00000122481"	"ENSG00000122481"	4.96411828635583e-08
"ENSG00000173113"	"ENSG00000173113"	6.07623666700002e-08
"ENSG00000165813"	"ENSG00000165813"	6.6011567245351e-08
"ENSG00000105193"	"ENSG00000105193"	6.77886773586682e-08
"ENSG00000106785"	"ENSG00000106785"	7.03697017804631e-08
"ENSG00000125741"	"ENSG00000125741"	7.4249322996855e-08
"ENSG00000139597"	"ENSG00000139597"	7.43033424990067e-08
"ENSG00000169249"	"ENSG00000169249"	7.69150027047528e-08
"ENSG00000158517"	"ENSG00000158517"	7.71399762516765e-08
"ENSG00000147439"	"ENSG00000147439"	8.37965019284681e-08
"ENSG00000110934"	"ENSG00000110934"	9.3305650630859e-08
"ENSG00000090061"	"ENSG00000090061"	9.3944543627262e-08
"ENSG00000147168"	"ENSG00000147168"	1.08862565792629e-07
"ENSG00000161970"	"ENSG00000161970"	1.14466416546022e-07
"ENSG00000197530"	"ENSG00000197530"	1.18169714277907e-07
"ENSG00000129657"	"ENSG00000129657"	1.36558512203012e-07
"ENSG00000112339"	"ENSG00000112339"	1.38139582744048e-07
"ENSG00000170776"	"ENSG00000170776"	1.52980529301159e-07
"ENSG00000177150"	"ENSG00000177150"	1.64608241422247e-07
"ENSG00000135655"	"ENSG00000135655"	1.67442608548055e-07
"ENSG00000204628"	"ENSG00000204628"	1.70456432925269e-07
"ENSG00000008128"	"ENSG00000008128"	1.72485273992347e-07
"ENSG00000104343"	"ENSG00000104343"	1.72631055568081e-07
"ENSG00000257242"	"ENSG00000257242"	1.77447078999407e-07
"ENSG00000181381"	"ENSG00000181381"	1.88807712367797e-07
"ENSG00000109270"	"ENSG00000109270"	2.20691770238361e-07
"ENSG00000125450"	"ENSG00000125450"	2.28014026487027e-07
"ENSG00000130921"	"ENSG00000130921"	2.29321366070504e-07
"ENSG00000100650"	"ENSG00000100650"	2.30695934141425e-07
"ENSG00000239713"	"ENSG00000239713"	2.60267382207e-07
"ENSG00000014123"	"ENSG00000014123"	2.69323192230438e-07
"ENSG00000155926"	"ENSG00000155926"	2.84196142363407e-07
"ENSG00000146963"	"ENSG00000146963"	2.86055093291365e-07
"ENSG00000113328"	"ENSG00000113328"	3.10132463613168e-07
"ENSG00000159377"	"ENSG00000159377"	3.15541209068059e-07
"ENSG00000176142"	"ENSG00000176142"	3.17290991870271e-07
"ENSG00000167005"	"ENSG00000167005"	3.18589842533227e-07
"ENSG00000140575"	"ENSG00000140575"	3.42473181294019e-07
"ENSG00000143486"	"ENSG00000143486"	3.4502225326677e-07
"ENSG00000144048"	"ENSG00000144048"	3.53268301275017e-07
"ENSG00000134283"	"ENSG00000134283"	3.53659535033645e-07
"ENSG00000170653"	"ENSG00000170653"	3.75331601881215e-07
"ENSG00000088448"	"ENSG00000088448"	3.77279926879214e-07
"ENSG00000151332"	"ENSG00000151332"	4.05668551364481e-07
"ENSG00000075914"	"ENSG00000075914"	4.05879317302849e-07
"ENSG00000133134"	"ENSG00000133134"	4.06914772174228e-07
"ENSG00000061987"	"ENSG00000061987"	4.41637425607355e-07
"ENSG00000147403"	"ENSG00000147403"	4.43601232514632e-07
"ENSG00000165525"	"ENSG00000165525"	4.53197849359377e-07
"ENSG00000205323"	"ENSG00000205323"	4.61147463523632e-07
"ENSG00000197372"	"ENSG00000197372"	4.61345668310368e-07
"ENSG00000198015"	"ENSG00000198015"	4.74111641080421e-07
"ENSG00000100056"	"ENSG00000100056"	5.02692398734355e-07
"ENSG00000103365"	"ENSG00000103365"	5.20830459209199e-07
"ENSG00000100138"	"ENSG00000100138"	5.41290846480541e-07
"ENSG00000113810"	"ENSG00000113810"	5.52705056625486e-07
"ENSG00000075336"	"ENSG00000075336"	5.56320106943284e-07
"ENSG00000266173"	"ENSG00000266173"	5.68144447456649e-07
"ENSG00000083807"	"ENSG00000083807"	6.51445931091841e-07
"ENSG00000126217"	"ENSG00000126217"	6.73777276773662e-07
"ENSG00000086061"	"ENSG00000086061"	7.20869997135079e-07
"ENSG00000135426"	"ENSG00000135426"	7.87316610188684e-07
"ENSG00000154874"	"ENSG00000154874"	8.03400332404462e-07
"ENSG00000114391"	"ENSG00000114391"	8.14092683143413e-07
"ENSG00000086758"	"ENSG00000086758"	8.2608528393677e-07
"ENSG00000136754"	"ENSG00000136754"	8.64053332728032e-07
"ENSG00000185787"	"ENSG00000185787"	8.65294841051804e-07
"ENSG00000184990"	"ENSG00000184990"	8.84869724379381e-07
"ENSG00000154099"	"ENSG00000154099"	8.87522140656872e-07
"ENSG00000115762"	"ENSG00000115762"	9.02202813143079e-07
"ENSG00000124614"	"ENSG00000124614"	9.08867370496994e-07
"ENSG00000136240"	"ENSG00000136240"	9.70123224131749e-07
"ENSG00000035681"	"ENSG00000035681"	9.77492975007266e-07
"ENSG00000241127"	"ENSG00000241127"	1.00562628193943e-06
"ENSG00000172765"	"ENSG00000172765"	1.01057498342707e-06
"ENSG00000108848"	"ENSG00000108848"	1.16569629281018e-06
"ENSG00000125107"	"ENSG00000125107"	1.16702412856767e-06
"ENSG00000197111"	"ENSG00000197111"	1.1887198640394e-06
"ENSG00000160570"	"ENSG00000160570"	1.19102764386308e-06
"ENSG00000131051"	"ENSG00000131051"	1.19439433659649e-06
"ENSG00000100519"	"ENSG00000100519"	1.28402656378567e-06
"ENSG00000196072"	"ENSG00000196072"	1.36529118788028e-06
"ENSG00000011422"	"ENSG00000011422"	1.36578374424395e-06
"ENSG00000163682"	"ENSG00000163682"	1.36718099030987e-06
"ENSG00000189403"	"ENSG00000189403"	1.37597467852912e-06
"ENSG00000178057"	"ENSG00000178057"	1.44266191776016e-06
"ENSG00000077147"	"ENSG00000077147"	1.49493419542631e-06
"ENSG00000143947"	"ENSG00000143947"	1.5025749366817e-06
"ENSG00000104885"	"ENSG00000104885"	1.51303493686967e-06
"ENSG00000119682"	"ENSG00000119682"	1.54352159975826e-06
"ENSG00000060971"	"ENSG00000060971"	1.54520432126081e-06
"ENSG00000120533"	"ENSG00000120533"	1.54565673943068e-06
"ENSG00000196531"	"ENSG00000196531"	1.54850865456979e-06
"ENSG00000177156"	"ENSG00000177156"	1.64260507549343e-06
"ENSG00000121578"	"ENSG00000121578"	1.72582722802897e-06
"ENSG00000109111"	"ENSG00000109111"	1.91184981886672e-06
"ENSG00000174738"	"ENSG00000174738"	1.92478410247855e-06
"ENSG00000138663"	"ENSG00000138663"	1.98286296996206e-06
"ENSG00000007168"	"ENSG00000007168"	2.0172127756222e-06
"ENSG00000111859"	"ENSG00000111859"	2.13483819561952e-06
"ENSG00000160201"	"ENSG00000160201"	2.19112853091189e-06
"ENSG00000178104"	"ENSG00000178104"	2.31655730956476e-06
"ENSG00000102921"	"ENSG00000102921"	2.35958121942702e-06
"ENSG00000104320"	"ENSG00000104320"	2.36192571703468e-06
"ENSG00000173933"	"ENSG00000173933"	2.41660035277662e-06
"ENSG00000055163"	"ENSG00000055163"	2.63116258999104e-06
"ENSG00000100219"	"ENSG00000100219"	2.64110028072298e-06
"ENSG00000140153"	"ENSG00000140153"	2.64351823853451e-06
"ENSG00000100227"	"ENSG00000100227"	2.64832556031493e-06
"ENSG00000139697"	"ENSG00000139697"	2.65165028250338e-06
"ENSG00000180957"	"ENSG00000180957"	2.71761269367275e-06
"ENSG00000182983"	"ENSG00000182983"	2.74068432014397e-06
"ENSG00000139946"	"ENSG00000139946"	2.78748236449698e-06
"ENSG00000135828"	"ENSG00000135828"	2.86029126779685e-06
"ENSG00000135503"	"ENSG00000135503"	2.93626887622219e-06
"ENSG00000221914"	"ENSG00000221914"	2.94209064376985e-06
"ENSG00000095261"	"ENSG00000095261"	2.94853195064654e-06
"ENSG00000134779"	"ENSG00000134779"	2.95222932357261e-06
"ENSG00000068796"	"ENSG00000068796"	3.00912911691628e-06
"ENSG00000171109"	"ENSG00000171109"	3.08669918911064e-06
"ENSG00000136560"	"ENSG00000136560"	3.09175266327731e-06
"ENSG00000115935"	"ENSG00000115935"	3.16342158649564e-06
"ENSG00000083845"	"ENSG00000083845"	3.16423116977244e-06
"ENSG00000075856"	"ENSG00000075856"	3.17420707254742e-06
"ENSG00000168710"	"ENSG00000168710"	3.27535695512499e-06
"ENSG00000134285"	"ENSG00000134285"	3.38297504889e-06
"ENSG00000064313"	"ENSG00000064313"	3.39316515361507e-06
"ENSG00000115687"	"ENSG00000115687"	3.52791254732091e-06
"ENSG00000177600"	"ENSG00000177600"	3.53664405045595e-06
"ENSG00000173588"	"ENSG00000173588"	3.54063001813104e-06
"ENSG00000021300"	"ENSG00000021300"	3.5427524303014e-06
"ENSG00000275895"	"ENSG00000275895"	3.55380125503259e-06
"ENSG00000129691"	"ENSG00000129691"	3.72377674683604e-06
"ENSG00000137275"	"ENSG00000137275"	3.75797606290234e-06
"ENSG00000107223"	"ENSG00000107223"	3.80250404310889e-06
"ENSG00000149806"	"ENSG00000149806"	3.83320768351139e-06
"ENSG00000116350"	"ENSG00000116350"	3.86456898155965e-06
"ENSG00000182541"	"ENSG00000182541"	3.94751255602307e-06
"ENSG00000178896"	"ENSG00000178896"	4.00974936714831e-06
"ENSG00000140391"	"ENSG00000140391"	4.13406366912561e-06
"ENSG00000033030"	"ENSG00000033030"	4.18912724402688e-06
"ENSG00000130038"	"ENSG00000130038"	4.32526952155554e-06
"ENSG00000013441"	"ENSG00000013441"	4.32632667955272e-06
"ENSG00000176171"	"ENSG00000176171"	4.37360507272533e-06
"ENSG00000124228"	"ENSG00000124228"	4.45912249599193e-06
"ENSG00000131966"	"ENSG00000131966"	4.46686150912e-06
"ENSG00000005483"	"ENSG00000005483"	4.67523295888395e-06
"ENSG00000140848"	"ENSG00000140848"	4.9555277598909e-06
"ENSG00000109787"	"ENSG00000109787"	5.13493640694785e-06
"ENSG00000062716"	"ENSG00000062716"	5.45500142570559e-06
"ENSG00000104312"	"ENSG00000104312"	5.60299717422218e-06
"ENSG00000125445"	"ENSG00000125445"	6.04347657243372e-06
"ENSG00000131495"	"ENSG00000131495"	6.24203731949492e-06
"ENSG00000122566"	"ENSG00000122566"	6.31354204122298e-06
"ENSG00000138378"	"ENSG00000138378"	6.4272592278945e-06
"ENSG00000182149"	"ENSG00000182149"	6.5692787405646e-06
"ENSG00000145241"	"ENSG00000145241"	6.57680763131351e-06
"ENSG00000233927"	"ENSG00000233927"	6.61032191763428e-06
"ENSG00000154743"	"ENSG00000154743"	6.73892805978114e-06
"ENSG00000119403"	"ENSG00000119403"	7.4030518652341e-06
"ENSG00000166822"	"ENSG00000166822"	7.60585475506815e-06
"ENSG00000169020"	"ENSG00000169020"	7.81248097074612e-06
"ENSG00000008517"	"ENSG00000008517"	7.8730474985954e-06
"ENSG00000196655"	"ENSG00000196655"	7.87507701467373e-06
"ENSG00000213420"	"ENSG00000213420"	7.92384746759949e-06
"ENSG00000145687"	"ENSG00000145687"	7.9349419973134e-06
"ENSG00000168461"	"ENSG00000168461"	8.07301886364517e-06
"ENSG00000072756"	"ENSG00000072756"	8.10416932373715e-06
"ENSG00000112096"	"ENSG00000112096"	8.13919330118973e-06
"ENSG00000124209"	"ENSG00000124209"	8.16109443683603e-06
"ENSG00000186532"	"ENSG00000186532"	8.71287198873266e-06
"ENSG00000114942"	"ENSG00000114942"	8.77853307413713e-06
"ENSG00000166266"	"ENSG00000166266"	8.87762296704419e-06
"ENSG00000141002"	"ENSG00000141002"	8.96231461034133e-06
"ENSG00000161526"	"ENSG00000161526"	8.9834884245554e-06
"ENSG00000198851"	"ENSG00000198851"	9.04229660599339e-06
"ENSG00000139725"	"ENSG00000139725"	9.04261906713467e-06
"ENSG00000132522"	"ENSG00000132522"	9.29575560259129e-06
"ENSG00000107672"	"ENSG00000107672"	9.34855238791518e-06
"ENSG00000161204"	"ENSG00000161204"	9.39888735458737e-06
"ENSG00000010810"	"ENSG00000010810"	9.41293678021602e-06
"ENSG00000184436"	"ENSG00000184436"	9.42522281786765e-06
"ENSG00000059804"	"ENSG00000059804"	9.55297116191918e-06
"ENSG00000178127"	"ENSG00000178127"	9.55542424644821e-06
"ENSG00000188529"	"ENSG00000188529"	9.69395052192549e-06
"ENSG00000143569"	"ENSG00000143569"	9.80320450339539e-06
"ENSG00000143515"	"ENSG00000143515"	1.03268825662984e-05
"ENSG00000100288"	"ENSG00000100288"	1.04032633203265e-05
"ENSG00000143851"	"ENSG00000143851"	1.07059985368239e-05
"ENSG00000116580"	"ENSG00000116580"	1.07321790437702e-05
"ENSG00000071054"	"ENSG00000071054"	1.10958750233038e-05
"ENSG00000122417"	"ENSG00000122417"	1.16819485270794e-05
"ENSG00000156642"	"ENSG00000156642"	1.19248728245512e-05
"ENSG00000160679"	"ENSG00000160679"	1.21431002519061e-05
"ENSG00000110801"	"ENSG00000110801"	1.24571826157151e-05
"ENSG00000110429"	"ENSG00000110429"	1.27589684269394e-05
"ENSG00000115541"	"ENSG00000115541"	1.29457780590143e-05
"ENSG00000166226"	"ENSG00000166226"	1.3171397843879e-05
"ENSG00000135269"	"ENSG00000135269"	1.32487326445866e-05
"ENSG00000198612"	"ENSG00000198612"	1.41171201287784e-05
"ENSG00000114491"	"ENSG00000114491"	1.41508305975985e-05
"ENSG00000198755"	"ENSG00000198755"	1.43806527729158e-05
"ENSG00000115232"	"ENSG00000115232"	1.45012229635872e-05
"ENSG00000110047"	"ENSG00000110047"	1.45577188464302e-05
"ENSG00000197471"	"ENSG00000197471"	1.47237327154926e-05
"ENSG00000188895"	"ENSG00000188895"	1.49853673069013e-05
"ENSG00000106588"	"ENSG00000106588"	1.52832921784224e-05
"ENSG00000169905"	"ENSG00000169905"	1.64561284034155e-05
"ENSG00000171428"	"ENSG00000171428"	1.64770212812999e-05
"ENSG00000163960"	"ENSG00000163960"	1.6493773752642e-05
"ENSG00000106733"	"ENSG00000106733"	1.69400845918254e-05
"ENSG00000204178"	"ENSG00000204178"	1.73516031445294e-05
"ENSG00000140526"	"ENSG00000140526"	1.74104434060358e-05
"ENSG00000176597"	"ENSG00000176597"	1.74387600284e-05
"ENSG00000136143"	"ENSG00000136143"	1.81190753325274e-05
"ENSG00000122026"	"ENSG00000122026"	1.97961447476411e-05
"ENSG00000077097"	"ENSG00000077097"	2.0144453694903e-05
"ENSG00000070814"	"ENSG00000070814"	2.03292847539711e-05
"ENSG00000160408"	"ENSG00000160408"	2.03612121941572e-05
"ENSG00000115233"	"ENSG00000115233"	2.03871419599547e-05
"ENSG00000050426"	"ENSG00000050426"	2.04256436275331e-05
"ENSG00000129351"	"ENSG00000129351"	2.06950425475193e-05
"ENSG00000164162"	"ENSG00000164162"	2.0877541895006e-05
"ENSG00000132323"	"ENSG00000132323"	2.08824965609507e-05
"ENSG00000123200"	"ENSG00000123200"	2.10010260602471e-05
"ENSG00000168421"	"ENSG00000168421"	2.10028011118195e-05
"ENSG00000108654"	"ENSG00000108654"	2.10627328340863e-05
"ENSG00000114473"	"ENSG00000114473"	2.12002556467414e-05
"ENSG00000242372"	"ENSG00000242372"	2.13413251898153e-05
"ENSG00000167996"	"ENSG00000167996"	2.13897819944694e-05
"ENSG00000075142"	"ENSG00000075142"	2.14564296821492e-05
"ENSG00000198771"	"ENSG00000198771"	2.14862131023793e-05
"ENSG00000089006"	"ENSG00000089006"	2.15086481774359e-05
"ENSG00000109320"	"ENSG00000109320"	2.1544231015922e-05
"ENSG00000092199"	"ENSG00000092199"	2.16778044199988e-05
"ENSG00000135297"	"ENSG00000135297"	2.21577821965484e-05
"ENSG00000156711"	"ENSG00000156711"	2.22415939768906e-05
"ENSG00000126698"	"ENSG00000126698"	2.30421424347552e-05
