"gene"	"qval"
"ENSG00000125755"	"ENSG00000125755"	0.04194441895495
"ENSG00000169228"	"ENSG00000169228"	0.041948940799809
"ENSG00000197857"	"ENSG00000197857"	0.0421157280740714
"ENSG00000080503"	"ENSG00000080503"	0.0421238383988971
"ENSG00000115760"	"ENSG00000115760"	0.0421274858201803
"ENSG00000113593"	"ENSG00000113593"	0.0421629247248363
"ENSG00000203710"	"ENSG00000203710"	0.0422392801495194
"ENSG00000116353"	"ENSG00000116353"	0.0422811450217637
"ENSG00000100412"	"ENSG00000100412"	0.0423194108352972
"ENSG00000138801"	"ENSG00000138801"	0.042348034354622
"ENSG00000169189"	"ENSG00000169189"	0.0424281200597963
"ENSG00000163832"	"ENSG00000163832"	0.0424522575091589
"ENSG00000177575"	"ENSG00000177575"	0.0425469260064611
"ENSG00000143353"	"ENSG00000143353"	0.0427158261054389
"ENSG00000132406"	"ENSG00000132406"	0.0427464932392407
"ENSG00000112303"	"ENSG00000112303"	0.0427948743192771
"ENSG00000156374"	"ENSG00000156374"	0.0428001391716649
"ENSG00000152952"	"ENSG00000152952"	0.0428357265301617
"ENSG00000025770"	"ENSG00000025770"	0.0428439110103545
"ENSG00000172345"	"ENSG00000172345"	0.0428634489963095
"ENSG00000175662"	"ENSG00000175662"	0.0429190428816279
"ENSG00000168386"	"ENSG00000168386"	0.0429328314273476
"ENSG00000077549"	"ENSG00000077549"	0.0429518801274022
"ENSG00000139182"	"ENSG00000139182"	0.0429934497141594
"ENSG00000034677"	"ENSG00000034677"	0.0430114547245119
"ENSG00000183530"	"ENSG00000183530"	0.0431033750939161
"ENSG00000034152"	"ENSG00000034152"	0.0431097289467072
"ENSG00000188321"	"ENSG00000188321"	0.0431159175540271
"ENSG00000078142"	"ENSG00000078142"	0.0431740912124785
"ENSG00000178685"	"ENSG00000178685"	0.0433377520872463
"ENSG00000130021"	"ENSG00000130021"	0.0433431339290749
"ENSG00000169429"	"ENSG00000169429"	0.0434419710969056
"ENSG00000144026"	"ENSG00000144026"	0.0435045076233104
"ENSG00000241553"	"ENSG00000241553"	0.0435665205799139
"ENSG00000085365"	"ENSG00000085365"	0.0436382440669973
"ENSG00000243477"	"ENSG00000243477"	0.0436497165661962
"ENSG00000149577"	"ENSG00000149577"	0.0437833049792857
"ENSG00000164898"	"ENSG00000164898"	0.0437949096761753
"ENSG00000111912"	"ENSG00000111912"	0.0438361595587454
"ENSG00000103811"	"ENSG00000103811"	0.043840239558371
"ENSG00000196843"	"ENSG00000196843"	0.0440597410179867
"ENSG00000186312"	"ENSG00000186312"	0.0440713193317235
"ENSG00000205659"	"ENSG00000205659"	0.0440724142367897
"ENSG00000115841"	"ENSG00000115841"	0.0440959647564874
"ENSG00000159720"	"ENSG00000159720"	0.0441011552220583
"ENSG00000105963"	"ENSG00000105963"	0.0441226320431279
"ENSG00000008869"	"ENSG00000008869"	0.0442045941316655
"ENSG00000062485"	"ENSG00000062485"	0.04441904570039
"ENSG00000198498"	"ENSG00000198498"	0.0446365974022963
"ENSG00000168495"	"ENSG00000168495"	0.0446380673711158
"ENSG00000067082"	"ENSG00000067082"	0.0446817482421827
"ENSG00000100483"	"ENSG00000100483"	0.0447153072847877
"ENSG00000141258"	"ENSG00000141258"	0.0448648286450134
"ENSG00000141293"	"ENSG00000141293"	0.0448836771343765
"ENSG00000112146"	"ENSG00000112146"	0.0451591711064113
"ENSG00000173226"	"ENSG00000173226"	0.0452373236402256
"ENSG00000156973"	"ENSG00000156973"	0.0452398639526318
"ENSG00000108443"	"ENSG00000108443"	0.0453442832045772
"ENSG00000140563"	"ENSG00000140563"	0.0453983670549146
"ENSG00000119013"	"ENSG00000119013"	0.0454424026766521
"ENSG00000121417"	"ENSG00000121417"	0.0454639261054124
"ENSG00000099308"	"ENSG00000099308"	0.0456246710573619
"ENSG00000083750"	"ENSG00000083750"	0.0456291909105142
"ENSG00000156042"	"ENSG00000156042"	0.0456345345185372
"ENSG00000136213"	"ENSG00000136213"	0.0456450246507998
"ENSG00000130598"	"ENSG00000130598"	0.045657897043373
"ENSG00000054523"	"ENSG00000054523"	0.0456745162748824
"ENSG00000132199"	"ENSG00000132199"	0.0458130736981195
"ENSG00000095209"	"ENSG00000095209"	0.0458565476935753
"ENSG00000072121"	"ENSG00000072121"	0.0458748916149124
"ENSG00000185896"	"ENSG00000185896"	0.0458763975358399
"ENSG00000090006"	"ENSG00000090006"	0.0459302029384276
"ENSG00000168393"	"ENSG00000168393"	0.0459436553100744
"ENSG00000139192"	"ENSG00000139192"	0.0462333936132782
"ENSG00000253981"	"ENSG00000253981"	0.0462675548159008
"ENSG00000168872"	"ENSG00000168872"	0.0463953556381036
"ENSG00000168724"	"ENSG00000168724"	0.0463991619028188
"ENSG00000065717"	"ENSG00000065717"	0.0464225776487071
"ENSG00000138111"	"ENSG00000138111"	0.0465366549861413
"ENSG00000135392"	"ENSG00000135392"	0.0465408101174577
"ENSG00000145569"	"ENSG00000145569"	0.0465468009091267
"ENSG00000134086"	"ENSG00000134086"	0.046552591011521
"ENSG00000007255"	"ENSG00000007255"	0.0465637729225792
"ENSG00000168610"	"ENSG00000168610"	0.0465764861933514
"ENSG00000128284"	"ENSG00000128284"	0.046623724672128
"ENSG00000123159"	"ENSG00000123159"	0.046628793811471
"ENSG00000005882"	"ENSG00000005882"	0.0466495192924948
"ENSG00000103342"	"ENSG00000103342"	0.0466802177335299
"ENSG00000170345"	"ENSG00000170345"	0.0468841638973932
"ENSG00000092931"	"ENSG00000092931"	0.0468896188430709
"ENSG00000041802"	"ENSG00000041802"	0.0469563440374099
"ENSG00000120727"	"ENSG00000120727"	0.0469619335413144
"ENSG00000072071"	"ENSG00000072071"	0.047297494391295
"ENSG00000066777"	"ENSG00000066777"	0.0473523590908842
"ENSG00000168237"	"ENSG00000168237"	0.0473830748304963
"ENSG00000115350"	"ENSG00000115350"	0.0473838879604262
"ENSG00000172671"	"ENSG00000172671"	0.0474806583892112
"ENSG00000171843"	"ENSG00000171843"	0.0475040354512423
"ENSG00000277726"	"ENSG00000277726"	0.0475308826789625
"ENSG00000115306"	"ENSG00000115306"	0.0475382561380601
"ENSG00000170791"	"ENSG00000170791"	0.0475460943034692
"ENSG00000169136"	"ENSG00000169136"	0.0475501444867082
"ENSG00000136205"	"ENSG00000136205"	0.0475515068470391
"ENSG00000131686"	"ENSG00000131686"	0.0475683631603645
"ENSG00000154217"	"ENSG00000154217"	0.047607203366966
"ENSG00000108352"	"ENSG00000108352"	0.0476153917597976
"ENSG00000014641"	"ENSG00000014641"	0.0476816010644125
"ENSG00000123349"	"ENSG00000123349"	0.047710030594976
"ENSG00000143977"	"ENSG00000143977"	0.0477795032449263
"ENSG00000049249"	"ENSG00000049249"	0.0477800442858225
"ENSG00000156587"	"ENSG00000156587"	0.0478530168585117
"ENSG00000130813"	"ENSG00000130813"	0.0478619665427613
"ENSG00000109920"	"ENSG00000109920"	0.0479158584092232
"ENSG00000117632"	"ENSG00000117632"	0.0479231552217303
"ENSG00000130312"	"ENSG00000130312"	0.047996102199176
"ENSG00000135677"	"ENSG00000135677"	0.0480336074083859
"ENSG00000099968"	"ENSG00000099968"	0.0480483877948794
"ENSG00000079134"	"ENSG00000079134"	0.0481334136163359
"ENSG00000166821"	"ENSG00000166821"	0.0481410997010113
"ENSG00000096746"	"ENSG00000096746"	0.0481598311388485
"ENSG00000162614"	"ENSG00000162614"	0.0482466976427812
"ENSG00000125637"	"ENSG00000125637"	0.0482709575863134
"ENSG00000097033"	"ENSG00000097033"	0.048272291228462
"ENSG00000167323"	"ENSG00000167323"	0.0482887454726552
"ENSG00000108106"	"ENSG00000108106"	0.0483424827647868
"ENSG00000167378"	"ENSG00000167378"	0.0484289803091782
"ENSG00000135912"	"ENSG00000135912"	0.0484759501432049
"ENSG00000011243"	"ENSG00000011243"	0.048479202975322
"ENSG00000140577"	"ENSG00000140577"	0.0484826971011172
"ENSG00000166262"	"ENSG00000166262"	0.0485114919494333
"ENSG00000072135"	"ENSG00000072135"	0.0486564930563698
"ENSG00000196236"	"ENSG00000196236"	0.0486672844156982
"ENSG00000135164"	"ENSG00000135164"	0.0486819812474028
"ENSG00000130560"	"ENSG00000130560"	0.048690159868691
"ENSG00000198408"	"ENSG00000198408"	0.0486965842983214
"ENSG00000111335"	"ENSG00000111335"	0.048703345440464
"ENSG00000144642"	"ENSG00000144642"	0.0487062541004504
"ENSG00000155229"	"ENSG00000155229"	0.0487153763673415
"ENSG00000109184"	"ENSG00000109184"	0.048715798854126
"ENSG00000132356"	"ENSG00000132356"	0.0487485948520726
"ENSG00000197056"	"ENSG00000197056"	0.0488221215597454
"ENSG00000176986"	"ENSG00000176986"	0.0488474245522713
"ENSG00000249915"	"ENSG00000249915"	0.0490429522286949
"ENSG00000101017"	"ENSG00000101017"	0.0490556739460301
"ENSG00000133884"	"ENSG00000133884"	0.0490672862084347
"ENSG00000145817"	"ENSG00000145817"	0.0490853325914788
"ENSG00000126522"	"ENSG00000126522"	0.0490894439699802
"ENSG00000119203"	"ENSG00000119203"	0.0493791895142779
"ENSG00000164167"	"ENSG00000164167"	0.0493858225390719
"ENSG00000135597"	"ENSG00000135597"	0.0494143802191324
"ENSG00000089094"	"ENSG00000089094"	0.0495694188183879
"ENSG00000115364"	"ENSG00000115364"	0.0495804065251911
"ENSG00000071082"	"ENSG00000071082"	0.049584343872643
"ENSG00000213626"	"ENSG00000213626"	0.0495902481942384
"ENSG00000177426"	"ENSG00000177426"	0.0496593290106694
"ENSG00000082014"	"ENSG00000082014"	0.0496847119787601
"ENSG00000177570"	"ENSG00000177570"	0.0497257899932093
"ENSG00000133657"	"ENSG00000133657"	0.0497427126006505
"ENSG00000076513"	"ENSG00000076513"	0.0497554601049746
"ENSG00000197045"	"ENSG00000197045"	0.0497938429504237
"ENSG00000159063"	"ENSG00000159063"	0.0498114091861636
"ENSG00000047579"	"ENSG00000047579"	0.0499378926507751
"ENSG00000013725"	"ENSG00000013725"	0.0499407188273758
"ENSG00000184635"	"ENSG00000184635"	0.050215780461073
"ENSG00000112029"	"ENSG00000112029"	0.0502782351750453
"ENSG00000144306"	"ENSG00000144306"	0.050279390145598
"ENSG00000110756"	"ENSG00000110756"	0.050401249621206
"ENSG00000117682"	"ENSG00000117682"	0.0504756766700322
"ENSG00000187838"	"ENSG00000187838"	0.0505441812015466
"ENSG00000117676"	"ENSG00000117676"	0.0506078810960617
"ENSG00000151445"	"ENSG00000151445"	0.0507273811826812
"ENSG00000095303"	"ENSG00000095303"	0.0507389779173489
"ENSG00000139514"	"ENSG00000139514"	0.0507505862596425
"ENSG00000169239"	"ENSG00000169239"	0.050752452437662
"ENSG00000001629"	"ENSG00000001629"	0.0507569009341795
"ENSG00000151773"	"ENSG00000151773"	0.0507854452741906
"ENSG00000054967"	"ENSG00000054967"	0.050788827581156
"ENSG00000196155"	"ENSG00000196155"	0.0508849634160978
"ENSG00000101040"	"ENSG00000101040"	0.0508919157906463
"ENSG00000100731"	"ENSG00000100731"	0.0509471372011574
"ENSG00000160691"	"ENSG00000160691"	0.0509913570535261
"ENSG00000119899"	"ENSG00000119899"	0.0510971572855518
"ENSG00000032742"	"ENSG00000032742"	0.0511839234723493
"ENSG00000005812"	"ENSG00000005812"	0.0512009211151002
"ENSG00000126012"	"ENSG00000126012"	0.0513074692750888
"ENSG00000105520"	"ENSG00000105520"	0.0514428193527712
"ENSG00000092929"	"ENSG00000092929"	0.0515828461040077
"ENSG00000106615"	"ENSG00000106615"	0.0516284689076982
"ENSG00000127125"	"ENSG00000127125"	0.0518027395948279
"ENSG00000008394"	"ENSG00000008394"	0.0518354269093108
"ENSG00000109323"	"ENSG00000109323"	0.0518951406727925
"ENSG00000161653"	"ENSG00000161653"	0.0519144364948125
"ENSG00000204611"	"ENSG00000204611"	0.0519212789405225
"ENSG00000134453"	"ENSG00000134453"	0.0519255433991758
"ENSG00000139350"	"ENSG00000139350"	0.0520041764719483
"ENSG00000062582"	"ENSG00000062582"	0.0520521318417039
"ENSG00000215845"	"ENSG00000215845"	0.0521013358908626
"ENSG00000151065"	"ENSG00000151065"	0.0521936277051829
"ENSG00000114503"	"ENSG00000114503"	0.0523124501978604
"ENSG00000009307"	"ENSG00000009307"	0.052397372696676
"ENSG00000119638"	"ENSG00000119638"	0.0524280475064589
"ENSG00000127603"	"ENSG00000127603"	0.0524330275253673
"ENSG00000145555"	"ENSG00000145555"	0.0525251930442632
"ENSG00000257923"	"ENSG00000257923"	0.0526038008894549
"ENSG00000089012"	"ENSG00000089012"	0.0526720724352276
"ENSG00000166130"	"ENSG00000166130"	0.0526906496178362
"ENSG00000165102"	"ENSG00000165102"	0.0527201151061457
"ENSG00000188229"	"ENSG00000188229"	0.0527286909359118
"ENSG00000100281"	"ENSG00000100281"	0.0527317471729872
"ENSG00000106459"	"ENSG00000106459"	0.0527458421786453
"ENSG00000196505"	"ENSG00000196505"	0.0528455730677695
"ENSG00000145041"	"ENSG00000145041"	0.0528620879050306
"ENSG00000138182"	"ENSG00000138182"	0.0528934873204325
"ENSG00000075539"	"ENSG00000075539"	0.0530278200296829
"ENSG00000143702"	"ENSG00000143702"	0.0530286630301528
"ENSG00000167286"	"ENSG00000167286"	0.0530457242632745
"ENSG00000105372"	"ENSG00000105372"	0.0530481769415682
"ENSG00000041357"	"ENSG00000041357"	0.053124697479512
"ENSG00000197429"	"ENSG00000197429"	0.0532073586431699
"ENSG00000144560"	"ENSG00000144560"	0.0532261504902258
"ENSG00000181929"	"ENSG00000181929"	0.0532642610487389
"ENSG00000197601"	"ENSG00000197601"	0.0532808032596448
"ENSG00000151948"	"ENSG00000151948"	0.0532833089427266
"ENSG00000124762"	"ENSG00000124762"	0.0532944010166198
"ENSG00000127452"	"ENSG00000127452"	0.0533050842796017
"ENSG00000197345"	"ENSG00000197345"	0.0533665358432511
"ENSG00000076928"	"ENSG00000076928"	0.0534047132658494
"ENSG00000160087"	"ENSG00000160087"	0.0535331521891599
"ENSG00000189362"	"ENSG00000189362"	0.0535950036310957
"ENSG00000129347"	"ENSG00000129347"	0.0535990266515717
"ENSG00000129493"	"ENSG00000129493"	0.0536023476848732
"ENSG00000071205"	"ENSG00000071205"	0.053714988666135
"ENSG00000196781"	"ENSG00000196781"	0.0537412697250063
"ENSG00000198223"	"ENSG00000198223"	0.0537596250913298
"ENSG00000165832"	"ENSG00000165832"	0.0537648854523688
"ENSG00000163312"	"ENSG00000163312"	0.0537724334090059
"ENSG00000053254"	"ENSG00000053254"	0.0538227355838276
"ENSG00000149357"	"ENSG00000149357"	0.0538366065819968
"ENSG00000167552"	"ENSG00000167552"	0.0538515443303456
"ENSG00000198837"	"ENSG00000198837"	0.0540035362864775
"ENSG00000143499"	"ENSG00000143499"	0.0540055748805586
"ENSG00000140299"	"ENSG00000140299"	0.0541378092856047
"ENSG00000196776"	"ENSG00000196776"	0.0541475435716417
"ENSG00000116209"	"ENSG00000116209"	0.0541494897820719
"ENSG00000124802"	"ENSG00000124802"	0.0541613325506727
"ENSG00000137713"	"ENSG00000137713"	0.0541744717702339
"ENSG00000065427"	"ENSG00000065427"	0.0541896998170216
"ENSG00000036549"	"ENSG00000036549"	0.054191443009935
"ENSG00000166136"	"ENSG00000166136"	0.054402017318829
"ENSG00000125629"	"ENSG00000125629"	0.0544380786664609
"ENSG00000117143"	"ENSG00000117143"	0.0544412108056239
"ENSG00000213658"	"ENSG00000213658"	0.0544435767066661
"ENSG00000155100"	"ENSG00000155100"	0.0544451317593031
"ENSG00000119636"	"ENSG00000119636"	0.0544496063502939
"ENSG00000113971"	"ENSG00000113971"	0.0544662599689418
"ENSG00000213465"	"ENSG00000213465"	0.0544956163682186
"ENSG00000125814"	"ENSG00000125814"	0.0544984942101959
"ENSG00000066084"	"ENSG00000066084"	0.0545183175464383
"ENSG00000114125"	"ENSG00000114125"	0.0545757453223112
"ENSG00000102383"	"ENSG00000102383"	0.0546682160734077
"ENSG00000135250"	"ENSG00000135250"	0.0547044677199522
"ENSG00000139343"	"ENSG00000139343"	0.0547910847931577
"ENSG00000127585"	"ENSG00000127585"	0.0548143289448501
"ENSG00000101115"	"ENSG00000101115"	0.0549317296396338
"ENSG00000166902"	"ENSG00000166902"	0.0550574223115752
"ENSG00000138794"	"ENSG00000138794"	0.05525647410358
"ENSG00000101391"	"ENSG00000101391"	0.0552682542444842
"ENSG00000183049"	"ENSG00000183049"	0.0552727867382975
"ENSG00000143842"	"ENSG00000143842"	0.0552739799437394
"ENSG00000104904"	"ENSG00000104904"	0.0554529622981349
"ENSG00000105819"	"ENSG00000105819"	0.0556877967997502
"ENSG00000139116"	"ENSG00000139116"	0.0557253817344058
"ENSG00000141576"	"ENSG00000141576"	0.0557909440743524
"ENSG00000105323"	"ENSG00000105323"	0.0558577458407801
"ENSG00000187514"	"ENSG00000187514"	0.0558610259532866
"ENSG00000171634"	"ENSG00000171634"	0.0560468521338167
"ENSG00000177082"	"ENSG00000177082"	0.0560515505078378
"ENSG00000040341"	"ENSG00000040341"	0.0560519347178097
"ENSG00000188266"	"ENSG00000188266"	0.0560686713369947
"ENSG00000170006"	"ENSG00000170006"	0.0560693580599591
"ENSG00000130699"	"ENSG00000130699"	0.0560737811324644
"ENSG00000116717"	"ENSG00000116717"	0.0560738824557535
"ENSG00000146416"	"ENSG00000146416"	0.0560822902533168
"ENSG00000109466"	"ENSG00000109466"	0.0560846389170237
"ENSG00000232112"	"ENSG00000232112"	0.0562480314168275
"ENSG00000214717"	"ENSG00000214717"	0.0562809834666221
"ENSG00000181722"	"ENSG00000181722"	0.056371944207595
"ENSG00000044115"	"ENSG00000044115"	0.0564655269960425
"ENSG00000114735"	"ENSG00000114735"	0.0566746034862983
"ENSG00000124942"	"ENSG00000124942"	0.0567126444344572
"ENSG00000143621"	"ENSG00000143621"	0.0567777731755348
"ENSG00000158710"	"ENSG00000158710"	0.0567922130932903
"ENSG00000151176"	"ENSG00000151176"	0.0568448602969632
"ENSG00000175449"	"ENSG00000175449"	0.0568555061712557
"ENSG00000100714"	"ENSG00000100714"	0.0569399172745669
"ENSG00000010404"	"ENSG00000010404"	0.0569417029675528
"ENSG00000138592"	"ENSG00000138592"	0.0569469309482761
"ENSG00000111843"	"ENSG00000111843"	0.056951613106406
"ENSG00000143398"	"ENSG00000143398"	0.0569623222955342
"ENSG00000123104"	"ENSG00000123104"	0.0569625621291822
"ENSG00000104870"	"ENSG00000104870"	0.0570099346889457
"ENSG00000135116"	"ENSG00000135116"	0.0570433017570038
"ENSG00000170634"	"ENSG00000170634"	0.0570583409455546
"ENSG00000104365"	"ENSG00000104365"	0.0571619511476329
"ENSG00000007202"	"ENSG00000007202"	0.0572608095128932
"ENSG00000107863"	"ENSG00000107863"	0.0572734079034484
"ENSG00000105127"	"ENSG00000105127"	0.0573880913999149
"ENSG00000162642"	"ENSG00000162642"	0.0576887108268338
"ENSG00000141378"	"ENSG00000141378"	0.0577640100061925
"ENSG00000167083"	"ENSG00000167083"	0.0578558193955186
"ENSG00000068912"	"ENSG00000068912"	0.0578710535293492
"ENSG00000174799"	"ENSG00000174799"	0.0580059602482419
"ENSG00000168310"	"ENSG00000168310"	0.0581230185325382
"ENSG00000167113"	"ENSG00000167113"	0.0582360282633281
"ENSG00000171503"	"ENSG00000171503"	0.0582853606129011
"ENSG00000113119"	"ENSG00000113119"	0.0583067783350564
"ENSG00000096996"	"ENSG00000096996"	0.0583517964615164
"ENSG00000154114"	"ENSG00000154114"	0.058387342867844
"ENSG00000149313"	"ENSG00000149313"	0.0583905799012824
"ENSG00000091140"	"ENSG00000091140"	0.0583936221792058
"ENSG00000108405"	"ENSG00000108405"	0.0585652817995561
"ENSG00000153044"	"ENSG00000153044"	0.0585671634326327
"ENSG00000162613"	"ENSG00000162613"	0.0585692078675358
"ENSG00000123908"	"ENSG00000123908"	0.0585695836319253
"ENSG00000133703"	"ENSG00000133703"	0.0585696932448237
"ENSG00000100083"	"ENSG00000100083"	0.0585867580950589
"ENSG00000139644"	"ENSG00000139644"	0.058587296038064
"ENSG00000173889"	"ENSG00000173889"	0.0586050340214631
"ENSG00000025800"	"ENSG00000025800"	0.0586548705193392
"ENSG00000166847"	"ENSG00000166847"	0.0587075866984466
"ENSG00000115966"	"ENSG00000115966"	0.0587347072538902
"ENSG00000092108"	"ENSG00000092108"	0.0587532026626179
"ENSG00000131828"	"ENSG00000131828"	0.0587997853785947
"ENSG00000100387"	"ENSG00000100387"	0.0589700090057518
"ENSG00000005379"	"ENSG00000005379"	0.0590901552996365
"ENSG00000132434"	"ENSG00000132434"	0.0590980264121174
"ENSG00000117281"	"ENSG00000117281"	0.0591061558354154
"ENSG00000178188"	"ENSG00000178188"	0.05917194383882
"ENSG00000004534"	"ENSG00000004534"	0.059184244034357
"ENSG00000126453"	"ENSG00000126453"	0.0592479897958146
"ENSG00000163125"	"ENSG00000163125"	0.0592797708635757
"ENSG00000115128"	"ENSG00000115128"	0.0594227274481336
"ENSG00000055483"	"ENSG00000055483"	0.0594473210032209
"ENSG00000198056"	"ENSG00000198056"	0.0594615609580645
"ENSG00000198055"	"ENSG00000198055"	0.0594649229018205
"ENSG00000167904"	"ENSG00000167904"	0.0594825231628481
"ENSG00000135040"	"ENSG00000135040"	0.0595834016840219
"ENSG00000159164"	"ENSG00000159164"	0.0596501741756244
"ENSG00000122966"	"ENSG00000122966"	0.0596697178930388
"ENSG00000198133"	"ENSG00000198133"	0.0596736908038311
"ENSG00000148019"	"ENSG00000148019"	0.0596798044659882
"ENSG00000099875"	"ENSG00000099875"	0.0596831465096647
"ENSG00000167618"	"ENSG00000167618"	0.0596899181905399
"ENSG00000115540"	"ENSG00000115540"	0.060012720927124
"ENSG00000168385"	"ENSG00000168385"	0.060237864118671
"ENSG00000033327"	"ENSG00000033327"	0.0603346517739439
"ENSG00000161960"	"ENSG00000161960"	0.0603429698810445
"ENSG00000166526"	"ENSG00000166526"	0.0603762225136529
"ENSG00000162244"	"ENSG00000162244"	0.0604255550772321
"ENSG00000182511"	"ENSG00000182511"	0.0605811832079628
"ENSG00000080603"	"ENSG00000080603"	0.0605847644765388
"ENSG00000139977"	"ENSG00000139977"	0.0605980255048326
"ENSG00000097007"	"ENSG00000097007"	0.060598774570012
"ENSG00000143183"	"ENSG00000143183"	0.0606133811920152
"ENSG00000273173"	"ENSG00000273173"	0.0606184468776893
"ENSG00000187051"	"ENSG00000187051"	0.0606803588265767
"ENSG00000117697"	"ENSG00000117697"	0.0606886290405506
"ENSG00000137078"	"ENSG00000137078"	0.0608853455378372
"ENSG00000136436"	"ENSG00000136436"	0.060971000421773
"ENSG00000106591"	"ENSG00000106591"	0.0609869488721148
"ENSG00000080802"	"ENSG00000080802"	0.0609895930740867
"ENSG00000103363"	"ENSG00000103363"	0.061035682297132
"ENSG00000113811"	"ENSG00000113811"	0.0612645472301832
"ENSG00000144559"	"ENSG00000144559"	0.0612823883154949
"ENSG00000050393"	"ENSG00000050393"	0.0612948927621181
"ENSG00000119383"	"ENSG00000119383"	0.0613426729662616
"ENSG00000162869"	"ENSG00000162869"	0.0613622314351825
"ENSG00000184381"	"ENSG00000184381"	0.0613715803475035
"ENSG00000273590"	"ENSG00000273590"	0.0615212608086496
"ENSG00000100764"	"ENSG00000100764"	0.0615241922023057
"ENSG00000166912"	"ENSG00000166912"	0.0616656298810091
"ENSG00000178980"	"ENSG00000178980"	0.0617506403190095
"ENSG00000064012"	"ENSG00000064012"	0.0617686282991708
"ENSG00000055070"	"ENSG00000055070"	0.0618807829472565
"ENSG00000100450"	"ENSG00000100450"	0.0619086153189869
"ENSG00000134516"	"ENSG00000134516"	0.0619101946985101
"ENSG00000176444"	"ENSG00000176444"	0.0621304153260722
"ENSG00000106605"	"ENSG00000106605"	0.0622768184879299
"ENSG00000168803"	"ENSG00000168803"	0.0622822155959419
"ENSG00000126709"	"ENSG00000126709"	0.0622997802593303
"ENSG00000077238"	"ENSG00000077238"	0.0623056756564649
"ENSG00000006744"	"ENSG00000006744"	0.0624194215752732
"ENSG00000275066"	"ENSG00000275066"	0.0624277081952378
"ENSG00000227124"	"ENSG00000227124"	0.0627028480491256
"ENSG00000090975"	"ENSG00000090975"	0.0627887524100994
"ENSG00000189046"	"ENSG00000189046"	0.0629174364463228
"ENSG00000100815"	"ENSG00000100815"	0.0629779670649965
"ENSG00000165264"	"ENSG00000165264"	0.0631853882578215
"ENSG00000087338"	"ENSG00000087338"	0.063188283834329
"ENSG00000176834"	"ENSG00000176834"	0.0632856419295709
"ENSG00000084110"	"ENSG00000084110"	0.0634223828253212
"ENSG00000175866"	"ENSG00000175866"	0.0634233282068735
"ENSG00000136111"	"ENSG00000136111"	0.0636294484015796
"ENSG00000181982"	"ENSG00000181982"	0.0637978403260686
"ENSG00000110888"	"ENSG00000110888"	0.0638697721190596
"ENSG00000198932"	"ENSG00000198932"	0.0638903776779812
"ENSG00000148187"	"ENSG00000148187"	0.0639868856457751
"ENSG00000182487"	"ENSG00000182487"	0.0640574824852136
"ENSG00000075568"	"ENSG00000075568"	0.0640630446121125
"ENSG00000144426"	"ENSG00000144426"	0.0640901288740485
"ENSG00000158321"	"ENSG00000158321"	0.064118492132768
"ENSG00000008405"	"ENSG00000008405"	0.0641829952942785
"ENSG00000100220"	"ENSG00000100220"	0.0642951480454394
"ENSG00000127914"	"ENSG00000127914"	0.0643035293180101
"ENSG00000136104"	"ENSG00000136104"	0.0643118185565237
"ENSG00000145476"	"ENSG00000145476"	0.0644549855154142
"ENSG00000130751"	"ENSG00000130751"	0.0646337003341761
"ENSG00000147813"	"ENSG00000147813"	0.0647054369870498
"ENSG00000164109"	"ENSG00000164109"	0.0648847384067726
"ENSG00000100068"	"ENSG00000100068"	0.0649374799819753
"ENSG00000145388"	"ENSG00000145388"	0.0649682475822303
"ENSG00000170946"	"ENSG00000170946"	0.0651947171643865
"ENSG00000198246"	"ENSG00000198246"	0.0652741159367359
"ENSG00000171310"	"ENSG00000171310"	0.0652962330712434
"ENSG00000241878"	"ENSG00000241878"	0.0653154402558631
"ENSG00000145287"	"ENSG00000145287"	0.0653158645245678
"ENSG00000243335"	"ENSG00000243335"	0.0653168471726768
"ENSG00000100568"	"ENSG00000100568"	0.0653183708296596
"ENSG00000171204"	"ENSG00000171204"	0.0655828964744488
"ENSG00000143224"	"ENSG00000143224"	0.0655844761881845
"ENSG00000169230"	"ENSG00000169230"	0.0655926059292026
"ENSG00000102309"	"ENSG00000102309"	0.0657417991696248
"ENSG00000146054"	"ENSG00000146054"	0.0657817222392432
"ENSG00000157800"	"ENSG00000157800"	0.0658681613697661
"ENSG00000114841"	"ENSG00000114841"	0.0659115606735463
"ENSG00000178971"	"ENSG00000178971"	0.0660382200617154
"ENSG00000178950"	"ENSG00000178950"	0.0660418238734705
"ENSG00000077782"	"ENSG00000077782"	0.0660521225767462
"ENSG00000204427"	"ENSG00000204427"	0.0660566492189109
"ENSG00000186104"	"ENSG00000186104"	0.0660626185641162
"ENSG00000100154"	"ENSG00000100154"	0.0661651908930068
"ENSG00000266714"	"ENSG00000266714"	0.0664320417744312
"ENSG00000136153"	"ENSG00000136153"	0.0664448899639725
"ENSG00000170310"	"ENSG00000170310"	0.0665116786296837
"ENSG00000067167"	"ENSG00000067167"	0.0665441446317135
"ENSG00000144182"	"ENSG00000144182"	0.0665516479686301
"ENSG00000142168"	"ENSG00000142168"	0.0665620451799234
"ENSG00000103035"	"ENSG00000103035"	0.0666131069013356
"ENSG00000155506"	"ENSG00000155506"	0.0666453897909403
"ENSG00000118515"	"ENSG00000118515"	0.0668563601088823
"ENSG00000179104"	"ENSG00000179104"	0.0668987375770774
"ENSG00000118922"	"ENSG00000118922"	0.0671286841869302
