"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSG00000261102"	2.50001122791578	3.30273407794572	77.5700196416298	3.56355091757377e-09	1.24869117964829e-06
"ENSG00000279765"	0.900258264867737	5.30627083708866	77.5290625035201	3.58173846511845e-09	1.24869117964829e-06
"ENSG00000081059"	-2.14658748266133	5.79119044623363	77.4350384374672	3.62387123071065e-09	1.24869117964829e-06
"ENSG00000163661"	2.53951333773967	1.58654235227269	77.2225283768668	3.72108249347325e-09	1.24869117964829e-06
"ENSG00000101842"	-2.04756406565705	2.53675193753303	77.2079428000235	3.72785702654964e-09	1.24869117964829e-06
"ENSG00000175197"	2.03478143658183	5.74288888976271	77.1571675525062	3.75154454140108e-09	1.24869117964829e-06
"ENSG00000154928"	4.60346571095522	3.46479717088099	76.4760454013519	4.08550570703581e-09	1.34122115437141e-06
"ENSG00000136603"	1.3083229614777	4.63246253434824	75.0266240010433	4.90797700767084e-09	1.58945498633556e-06
"ENSG00000151726"	3.08164892644549	5.81510507066351	74.7869084556101	5.06045177644155e-09	1.61284197913634e-06
"ENSG00000274290"	-2.09972950448573	5.14475088404928	74.6717635171278	5.13550264251494e-09	1.61284197913634e-06
"ENSG00000115590"	5.6388649445219	6.41516160992252	74.6011952153472	5.18209190041719e-09	1.61284197913634e-06
"ENSG00000215788"	-2.20572013743202	5.24622082502338	74.2132016243664	5.44653166124058e-09	1.67341193925167e-06
"ENSG00000163938"	-0.79242478058641	5.39085808807946	74.0200275617816	5.58359120968449e-09	1.6938071308872e-06
"ENSG00000122644"	1.2749239713208	4.42020034831603	73.8887970318326	5.67882237631685e-09	1.70116222810542e-06
"ENSG00000159445"	-1.59146045126614	4.6294015727163	73.5844140835411	5.90652417456722e-09	1.74752903510498e-06
"ENSG00000168461"	1.32684802425053	7.04664181359151	72.8341818797196	6.51094135947498e-09	1.89531182697627e-06
"ENSG00000162551"	7.77732743185248	4.25671564780885	72.6980363937445	6.6276168418681e-09	1.89531182697627e-06
"ENSG00000163659"	1.29021627614004	4.10036646381425	72.6369378484554	6.68070971969325e-09	1.89531182697627e-06
"ENSG00000140044"	2.03745114653255	3.88783245690364	72.5893660029975	6.72236617120728e-09	1.89531182697627e-06
"ENSG00000180096"	-1.235484745253	5.925885307308	72.2952836182881	6.98618605243959e-09	1.94679010170599e-06
"ENSG00000111203"	-0.819445840668965	4.85254765799477	72.0255766608522	7.23798244382169e-09	1.99377298007111e-06
"ENSG00000163421"	3.83038646002091	5.23117677717369	71.9295171899759	7.33001452889075e-09	1.99617952482803e-06
"ENSG00000211791"	-3.36682299987132	1.24158728863323	71.6122212921001	7.64309633613379e-09	2.05805397410614e-06
"ENSG00000164039"	-1.0550107382688	3.56311558069109	71.4692033428454	7.78890813671883e-09	2.07401314996074e-06
"ENSG00000160185"	-1.85749147195271	3.82248059613839	71.2822281964368	7.98408200535004e-09	2.10262115668367e-06
"ENSG00000177971"	-1.17854723772892	5.68189589799376	71.1241874397426	8.15317186950151e-09	2.10429629477216e-06
"ENSG00000102967"	-1.17477172684924	3.66549769486352	71.1122896928786	8.16605697533114e-09	2.10429629477216e-06
"ENSG00000100393"	0.825290046441998	6.06850693352958	70.6991849892684	8.62736291447591e-09	2.14840416633827e-06
"ENSG00000124762"	2.21703943049016	7.54367791814753	70.6443015260637	8.69073732280409e-09	2.14840416633827e-06
"ENSG00000205981"	-1.11703201496514	6.41325140149967	70.6125216513985	8.72766341969372e-09	2.14840416633827e-06
"ENSG00000160818"	-0.927786052545401	4.40298464297751	70.4710434022448	8.89411940321577e-09	2.14840416633827e-06
"ENSG00000173334"	2.46821077115761	3.21798265698521	70.4393713757217	8.93185058072422e-09	2.14840416633827e-06
"ENSG00000144802"	1.80342461205643	6.96698623318199	70.4370994354688	8.93456379814943e-09	2.14840416633827e-06
"ENSG00000114491"	-1.34943180180773	3.72434762013633	70.4118664676711	8.96475763128841e-09	2.14840416633827e-06
"ENSG00000100243"	0.988108952432983	7.2130083903897	69.9325455146327	9.55973996525673e-09	2.2533334240363e-06
"ENSG00000148950"	-1.10001284150789	4.5881646897675	69.9085282083181	9.59065342172763e-09	2.2533334240363e-06
"ENSG00000133858"	1.08461331200007	5.25600385281707	69.6851451286052	9.88340180918923e-09	2.29957013939048e-06
"ENSG00000115520"	0.823668354264645	5.55888559113958	69.5800220871988	1.00244931249341e-08	2.30997093979852e-06
"ENSG00000179715"	-1.11227833462184	6.2767332253548	69.4342370996707	1.02237692428977e-08	2.33345361815279e-06
