"geneID"	"txID"	"gene"	"transcript"
"69"	"ENSG00000133112"	"ENST00000530705"	1.529066040451e-09	1
"70"	"ENSG00000133112"	"ENST00000379060"	1.529066040451e-09	1
"71"	"ENSG00000133112"	"ENST00000379056"	1.529066040451e-09	0.030115394231971
"72"	"ENSG00000133112"	"ENST00000616577"	1.529066040451e-09	0.0057997800271381
"73"	"ENSG00000133112"	"ENST00000379055"	1.529066040451e-09	2.10282458494231e-09
"74"	"ENSG00000133112"	"ENST00000490277"	1.529066040451e-09	0.000763000226398255
"75"	"ENSG00000133112"	"ENST00000533567"	1.529066040451e-09	6.06077256007183e-11
"76"	"ENSG00000133112"	"ENST00000484604"	1.529066040451e-09	0.0487899935052376
"77"	"ENSG00000133112"	"ENST00000309246"	1.529066040451e-09	0.701752973240188
"78"	"ENSG00000133112"	"ENST00000442760"	1.529066040451e-09	1
"79"	"ENSG00000133112"	"ENST00000527226"	1.529066040451e-09	1
"80"	"ENSG00000133112"	"ENST00000530245"	1.529066040451e-09	1
"81"	"ENSG00000137154"	"ENST00000380394"	0.00534916701380479	0.001476429301047
"82"	"ENSG00000137154"	"ENST00000380384"	0.00534916701380479	0.00280247220427916
"83"	"ENSG00000137154"	"ENST00000498815"	0.00534916701380479	0.041624482263203
"84"	"ENSG00000137154"	"ENST00000380381"	0.00534916701380479	0.100101039433587
"85"	"ENSG00000137154"	"ENST00000315377"	0.00534916701380479	0.463058520247577
"86"	"ENSG00000156482"	"ENST00000287038"	0	5.15475190935717e-08
"87"	"ENSG00000156482"	"ENST00000521291"	0	0.653850971415699
"88"	"ENSG00000156482"	"ENST00000396070"	0	0.327549203493174
"89"	"ENSG00000156482"	"ENST00000522156"	0	0.0822320245271901
"90"	"ENSG00000156482"	"ENST00000518850"	0	6.82993447913223e-13
"91"	"ENSG00000156482"	"ENST00000521534"	0	7.25242047311401e-20
"92"	"ENSG00000156482"	"ENST00000520998"	0	0.653850971415699
"93"	"ENSG00000156482"	"ENST00000518164"	0	1
"94"	"ENSG00000156482"	"ENST00000517489"	0	5.884816774523e-05
"95"	"ENSG00000156482"	"ENST00000521112"	0	0.0673588844994791
"96"	"ENSG00000156482"	"ENST00000521726"	0	0.653850971415699
"97"	"ENSG00000156482"	"ENST00000523172"	0	1
"98"	"ENSG00000156482"	"ENST00000517805"	0	1
"99"	"ENSG00000019582"	"ENST00000353334"	0.000700250168344044	1
"100"	"ENSG00000019582"	"ENST00000377795"	0.000700250168344044	1
"101"	"ENSG00000019582"	"ENST00000518797"	0.000700250168344044	1
"102"	"ENSG00000019582"	"ENST00000523836"	0.000700250168344044	0.000349725871513829
"103"	"ENSG00000019582"	"ENST00000517752"	0.000700250168344044	0.00488830223897837
"104"	"ENSG00000019582"	"ENST00000517791"	0.000700250168344044	0.324403325231302
"105"	"ENSG00000019582"	"ENST00000009530"	0.000700250168344044	1
"106"	"ENSG00000019582"	"ENST00000523813"	0.000700250168344044	1
"107"	"ENSG00000019582"	"ENST00000522153"	0.000700250168344044	1
"108"	"ENSG00000019582"	"ENST00000522246"	0.000700250168344044	1
"109"	"ENSG00000019582"	"ENST00000524315"	0.000700250168344044	1
"110"	"ENSG00000147403"	"ENST00000369817"	4.43601232514632e-07	5.30735620269e-08
"111"	"ENSG00000147403"	"ENST00000344746"	4.43601232514632e-07	0.000106381282203779
"112"	"ENSG00000147403"	"ENST00000458500"	4.43601232514632e-07	0.00113343140750109
"113"	"ENSG00000147403"	"ENST00000467168"	4.43601232514632e-07	2.43299669569917e-05
"114"	"ENSG00000147403"	"ENST00000482732"	4.43601232514632e-07	0.0700281207293312
"115"	"ENSG00000147403"	"ENST00000492572"	4.43601232514632e-07	0.732315742422712
"116"	"ENSG00000147403"	"ENST00000489200"	4.43601232514632e-07	0.000601499809854065
"117"	"ENSG00000147403"	"ENST00000485196"	4.43601232514632e-07	1.88502489734526e-07
"118"	"ENSG00000147403"	"ENST00000491035"	4.43601232514632e-07	0.0028565189854763
"119"	"ENSG00000147403"	"ENST00000479366"	4.43601232514632e-07	1
"120"	"ENSG00000147403"	"ENST00000451365"	4.43601232514632e-07	1
"121"	"ENSG00000147403"	"ENST00000618723"	4.43601232514632e-07	1
"122"	"ENSG00000145425"	"ENST00000274065"	2.63343020015788e-08	1
"123"	"ENSG00000145425"	"ENST00000509736"	2.63343020015788e-08	1
"124"	"ENSG00000145425"	"ENST00000514682"	2.63343020015788e-08	1
"125"	"ENSG00000145425"	"ENST00000512690"	2.63343020015788e-08	1
"126"	"ENSG00000145425"	"ENST00000507485"	2.63343020015788e-08	1.38012180978693e-09
"127"	"ENSG00000145425"	"ENST00000505243"	2.63343020015788e-08	1
"128"	"ENSG00000145425"	"ENST00000515792"	2.63343020015788e-08	1
"129"	"ENSG00000145425"	"ENST00000515818"	2.63343020015788e-08	1
"130"	"ENSG00000145425"	"ENST00000506126"	2.63343020015788e-08	1
"131"	"ENSG00000122026"	"ENST00000311549"	1.97961447476411e-05	0.000307686662496274
"132"	"ENSG00000122026"	"ENST00000461690"	1.97961447476411e-05	0.0659643554073527
"133"	"ENSG00000122026"	"ENST00000319826"	1.97961447476411e-05	0.00233153843413544
"134"	"ENSG00000122026"	"ENST00000485756"	1.97961447476411e-05	0.12575220646039
"135"	"ENSG00000122026"	"ENST00000466550"	1.97961447476411e-05	3.84765963866279e-06
